Principle Name,Statement,Rationale,Implications,,
Design for security properties changing over time,"Design for security properties changing over
time",The migration of previous users (and/or the correct coexistence of the local and remote users) would need to happen in a way that does not compromise security.,Make security design modular and flexible from the start.,,
Design reviews,"All architectures and designs must be reviewed. Minimal on security aspects and potential risks.
Also to determine if all (security and privacy) principles and requirements are followed.","Integrating security into the design phase saves money and time. Conduct a risk review with security professionals and threat model the application to identify key risks and to improve product and processes under development. This helps you integrate appropriate countermeasures into the design and architecture of the application. Improving architecture and design is by far the best option (time,cost etc) for dealing with security and privacy.","Organize or make use of a structured review process to benefit from review.

SME (Subject Matter Experts) must be available for doing reviews.

Reserve time to improve architectures and designs or to improve code.

&nbsp;",,
Design security to allow for regular adoption of new technology,"Design security to allow for regular adoption of new technology, including a secure and logical technology upgrade process.","As mission and business processes and the threat environment change, security requirements and technical protection methods must be updated. IT-related risks to the mission/business vary over time and undergo periodic assessment.",,,
Develop and exercise contingency or disaster recovery procedures to ensure appropriate availability,Develop and exercise contingency or disaster recovery procedures to ensure appropriate availability,Continuity of operations plans or disaster recovery procedures address continuance of an organization’s operation in the event of a disaster or prolonged service interruption that affects the organization’s mission.,,,
Do not implement unnecessary security mechanisms.,Do not implement unnecessary security mechanisms.,"Every security mechanism should support a security service or set of services, and every security service should support one or more security goals. Extra measures should not be implemented if they do not support a recognized service or security goal. Such mechanisms could add unneeded complexity to the system and are potential sources of additional vulnerabilities.",Only implement security measurements when needed.,,
Don’t trust infrastructure,Underlaying infrastructure cannot be assumed safe.,"Vulnerabilities are at hardware,firmwire, virtualization, middleware and application layers. 
To minimize data leakage risks trusting security of other objects should be prevented.","Sandbox model /Jericho model needed.
Layered defense easily possible",,
Don’t trust services (from others),"Services from others (departments, companies) should never (ever) be trusted.","Security design should protect against services use of other layers or applications (also SAAS services).
Systems or sub-systems outside the bounds of a receiving component must never be trusted implicitly.","Every input/output and given by external services must be validated.
Authentication, authorization can be needed.
Measurements to maintain availability when using services (input or output) requires strict measurements implemented.",,
"Earn or give, but never assume or trust","Earn or give, but never assume or trust","Offloading security functions from server to client exposes those functions to a much less trustworthy environment, which is one of the most common causes of security failures predicated on misplaced trust.
Designs that place authorization, access control,enforcement of security policy, or embedded sensitive data in client software thinking that it won’t be discovered, modified, or exposed by clever users or malicious attackers are inherently weak. Such designs will often lead to compromises.","
	Make sure all data received from an untrusted client are properly validated before processing.
	When designing your systems, be sure to consider the context where code will be executed, where data will go, and where data entering your system comes from.
",,
Economy of mechanism,A simple design is easier to test and validate.,"Keep it simple to avoid risk. More is not always better. This means more components, more processes and more security measurements involved.

&nbsp;",Avoid complexity,,
Ensure proper security in the shutdown or disposal of a system,Ensure proper security in the shutdown or disposal of a system,"Although a system may be powered down, critical information still resides on the system and could be retrieved by an unauthorized user or organization. Access to critical information systems must be controlled at all times.","
	At the end of a system’s life-cycle, system designers should develop / design procedures to dispose of an information system’s assets in a proper and secure fashion.
	Procedures must be implemented to ensure system hard drives, volatile memory, and other media are purged to an acceptable level and do not retain residual information.
",,
Ensure that developers are trained in how to develop secure software.,Ensure that developers are trained in how to develop secure software.,"It is unwise to assume that developers know how to develop secure software. Therefore, ensure that developers are adequately trained in the development of secure software before developing the system. This includes application of engineering disciplines to design, development, configuration control, and integration and testing.",Training cost (permanent) for all staff involved in maintaining the IT assets of a company.,,
Establish a sound security policy as the“foundation” for design.,Establish a sound security policy as the “foundation” for design.,"A security policy is an important document to develop while designing an information system. The security policy begins with the organization’s basic commitment to information security formulated as a general policy statement. The policy is then applied to all aspects of the system design or security solution. The policy identifies security goals (e.g., confidentiality, integrity, availability, accountability, and assurance) the system should support, and these goals guide the procedures, standards and controls used in the IT security architecture design. The policy also should require definition of critical assets, the perceived threat, and security-related roles and responsibilities.",,,
Establish secure defaults,"Establish secure defaults when system goes in error or exception status, or at default startup.",Secure defaults lower the risk of bad configurations.,"Security design principles and requirements must be implemented at first release.
Installation of software without safe defaults is not possible",,
External interface protection,External interface protection,"All external or less trusted interfaces of the service should be identified and have appropriate protections to defend against attacks through them. 

If this principle is not implemented, interfaces could be subverted by attackers in order to gain access to the service or data within it.",,,
Fail Safe Defaults,Fail Safe Defaults,"A mechanism that, in the event of failure, responds in a way that will cause no harm, or at least a minimum of harm, to other devices or danger to personnel.",,,
Fail-safe default settings for security and access,Fail-safe default settings for security and access. So in case of error security should not be compromised.,"In computing systems, the save default is generally “no access” so that the system must specifically grant access to resources. Most file access permissions work this way, though Windows also provides a “deny” right. Windows access control list (ACL) settings may be inherited, and the “deny” right gives the user an easy way to revoke a right granted through inheritance. However, this also illustrates why “default deny” is easier to understand and implement, since it’s harder to interpret a mixture of “permit” and “deny” rights.",,,
Formulate security measures to address multiple overlapping information domains,Formulate security measures to address multiple overlapping information domains.,"An information domain is a set of active entities (person, process, or devices) and their data objects. A single information domain may be subject to multiple security policies. A single security policy may span multiple information domains. An efficient and cost effective security capability should be able to enforce multiple security policies to protect multiple information domains without the need to separate (physically or logically) the information and respective information systems processing the data.",,,
Governance framework,A Governance framework is required for service providers of Cloud hosting.,"The service provider should have a security governance framework that coordinates and directs their overall approach to the management of the service and information within it.
If this principle is not implemented, any procedural, personnel, physical and technical controls in place will not remain effective when responding to changes in the service and to threat and technology developments.",,,
HTTP header,HTTP header information is not relied on to make security decisions.,HTTP headers can be manipulated very easily.,,,
Identify and prevent common errors and vulnerabilities,Identify and prevent common errors and vulnerabilities,"Many errors reoccur with disturbing regularity - errors such as buffer overflows, race conditions, format string errors, failing to check input for validity, and programs being given excessive privileges. Learning from the past will improve future results.","Use OWASP top 10 checklist
Use proven security testtools that are regular updated.",,
Identify potential trade-offs between reducing risk and increased costs and decrease in other aspects of operational effectiveness.,Identify potential trade-offs between reducing risk and increased costs and decrease in other aspects of operational effectiveness.,"To meet stated security requirements, a systems designer, architect, or security practitioner will need to identify and address all competing operational needs. It may be necessary to modify or adjust (i.e., trade-off) security goals due to other operational requirements. In modifying or adjusting security goals, an acceptance of greater risk and cost may be inevitable.",,,
Identity and authentication,Identity and authentication,"Access to all service interfaces (for consumers and providers) should be constrained to authenticated and authorised individuals.

If this principle is not implemented, unauthorised changes to a consumer’s service, theft or modification of data, or denial of service may occur.",,,
Implement layered security (Ensure no single point of vulnerability).,Implement layered security (Ensure no single point of vulnerability).,"Security designs should consider a layered approach to address or protect against a specific threat or to reduce vulnerability. For example, the use of a packet-filtering router in conjunction with an application gateway and an intrusion detection system combine to increase the work-factor an attacker must expend to successfully attack the system.",,,
Implement least privilege,Implement least privilege.,"The concept of limiting access, or least privilege"," is simply to provide no more authorizations than necessary to perform required functions. This is perhaps most often applied in the administration of the system. Its goal is to reduce risk by limiting the number of people with access to critical system security controls; i.e., controlling who is allowed to enable or disable system security features or change the privileges of users or programs. Best practice suggests it is better to have several administrators with limited access to security resources rather than one person with super user"" permissions.""",,
Implement tailored system security measures to meet organizational security goals.,Implement tailored system security measures to meet organizational security goals.,"In general, IT security measures are tailored according to an organization’s unique needs. While numerous factors, such as the overriding mission requirements, and guidance, are to be considered, the fundamental issue is the protection of the mission or business from IT security-related, negative impacts.",,,
Isolate public access systems from mission critical resources,"Isolate public access systems from mission critical resources (e.g., data, processes, etc.).","While the trend toward shared infrastructure has considerable merit in many cases, it is not universally applicable. In cases where the sensitivity or criticality of the information is high, organizations may want to limit the number of systems on which that data is stored and isolate them, either physically or logically. Physical isolation may include ensuring that no physical connection exists between an organization’s public access information resources and an organization’s critical information. When implementing logical isolation solutions, layers of security services and mechanisms should be established between public systems and secure systems responsible for protecting mission critical resources.","Isolation measurements must be tested regularly.
An audit report from a third party is required (in case of cloud sourcing).",,
Least common mechanism,Least common mechanism,"Users should not share system mechanisms except when absolutely necessary, because shared mechanisms may provide unintended communication paths or means of interference.",,,
Least privilege,Least privilege,"Every program and user should operate while invoking as few privileges as possible. This is the rationale behind Unix “sudo” and Windows User Account Control, both of which allow a user to apply administrative rights temporarily to perform a privileged task.","This principle has impact on the system, software components, but also on procedures used.

&nbsp;",,
Limit the use of pointers,"Limit the use of pointers. Use no more than N levels of dereferencing (star operators) per expression. A strict value for N=1, but in some cases using N=2 can be justified.

Pointer dereference operations may not be hidden in macro definitions or inside typedef declarations. The use of function pointers should be restricted to simple cases.","Pointers are easily misused, even by experienced programmers. They can make it hard to follow or analyze the flow of data in a program, especially by tool-based static analyzers. Function pointers, similarly, can seriously restrict the types of checks that can be performed by static analyzers and should only be used if there is a strong justification for their use, and ideally alternate means are provided to assist tool-based checkers determine flow of control and function call hierarchies. For instance, if function pointers are used, it can become impossible for a tool to prove absence of recursion, so alternate guarantees would have to be provided to make up for this loss in analytical capabilities.","It should be possible for a static analyzer to determine in all cases which function is being called, if the call is made through a function pointer. It may be acceptable to allow cases where the number of possible functions that may be called is larger than one, provided it does not affect the precision of the code analysis itself. This means that it can depend on the capabilities of a specific static analyzer what liberties can be taken with the use of function pointers.
Additionally, though, it is wise to keep function pointer use to a minimum, and to restrict to simple cases, to make sure that also humans can determine accurately and with modest effort which functions may be evoked.",,
Limit the use of the preprocessor to file inclusion and simple macros,"Limit the use of the preprocessor to file inclusion and simple macros.

The use of the preprocessor must be limited to the inclusion of header files and simple macro definitions. Token pasting, variable argument lists (ellipses), and recursive macro calls are not permitted.
All macros must expand into complete syntactic units.
The use of conditional compilation directives should be restricted to the prevention of duplicate file inclusion in header files.","The C preprocessor is a powerful obfuscation tool that can destroy code clarity and befuddle many text based checkers. The effect of constructs in unrestricted preprocessor code can be extremely hard to decipher, even with a formal language definition in hand. In a new implementation of the C preprocessor, developers often have to resort to using earlier implementations as the referee for interpreting complex defining language in the C standard. The rationale for the caution against conditional compilation is equally important. Note that with just ten conditional compilation directives, there could be up to 2^10 (i.e., 1024) possible versions of the code, each of which would have to be tested -- causing a significant increase in the required test effort.","Macros should only appear in header files, never in the source code itself. The #undef directive should not be used. Macros should never hide declarations, and they should not hide pointer dereference operations from the code. Macros should also never be used to redefine the language.

The restriction of macro definitions to the definition of complete syntactic units means that all macro bodies must be enclosed in either round or curly braces.

Compiler directives There should not be more #ifdef directives in a code base than there are headerfiles. Each use of compilation directives (other than the duplicate file inclusion prevention use) should be flagged by a tool-based checker and justified with a comment in the code.",,
Logging secrets,"Private data (for example, passwords) is not logged.",Protecting secure logs is expensive.,"A clear message level must be built in to notify exactly what the cause of error is.
Reduced risk profile on system logs.",,
Minimize secrets,Minimize secrets,"Secrets should be few and changeable, but they should also maximize entropy, and thus increase the attacker’s work factor. The simple principle is also true by itself, since each secret increases a system’s administrative burden.",,,
Minimize the system elements to be trusted.,Minimize the system elements to be trusted.,"Security measures include people, operations, and technology. Where technology is used, hardware, firmware, and software should be designed and implemented so that a minimum number of system elements need to be trusted in order to maintain protection.",,,
Open design,"Open design.
The security of physical products, machines and systems should not depend on secrecy of the design and implementation.","Baran (1964) argued persuasively in an unclassified RAND report that secure systems, including cryptographic systems, should have unclassified designs. This reflects recommendations by Kerckhoffs (1883) as well as Shannon’s maxim: “The enemy knows the system” (Shannon, 1948). Even the NSA, which resisted open crypto designs for decades, now uses the Advanced Encryption Standard to encrypt classified information.",,,
Operational security,Operational security,"The service provider should have processes and procedures in place to ensure the operational security of the service.
processes and procedures in place to ensure the operational security of the service.

If this principle is not implemented, the service can’t be operated and managed securely in order to impede, detect or prevent attacks against it.",,,
Personnel security,Personnel security,"Service provider staff should be subject to personnel security screening and security education for their role.

If this principle is not implemented, the likelihood of accidental or malicious compromise of consumer data by service provider personnel is increased.",,,
"Protect information while being processed, in transit, and in storage.","Protect information while being processed, in transit, and in storage.","The risk of unauthorized modification or destruction of data, disclosure of information, and denial of access to data while in transit should be considered along with the risks associated with data that is in storage or being processed. Therefore, system engineers, architects, and IT specialists should implement security measures to preserve, as needed, the integrity, confidentiality, and availability of data, including application software, while the information is being processed, in transit, and in storage.",,,
"Provide assurance that the system is, and continues to be, resilient in the face of expected threats.","Provide assurance that the system is, and continues to be, resilient in the face of expected threats.","Assurance is the grounds for confidence that a system meets its security expectations. These expectations can typically be summarized as providing sufficient resistance to both direct penetration and attempts to circumvent security controls. Good understanding of the threat environment, evaluation of requirement sets, hardware and software engineering disciplines, and product and system evaluations are primary measures used to achieve assurance. Additionally, the documentation of the specific and evolving threats is important in making timely adjustments in applied security and strategically supporting incremental security enhancements.",Security testing must be planned and performed on regular basis.,,
Psychological acceptability,Psychological acceptability,"This principle essentially requires the policy interface to reflect the user’s mental model of protection, and notes that users won’t specify protections correctly if the specification style doesn’t make sense to them.",,,
Reduce risk to an acceptable level.,Reduce risk to an acceptable level.,"Risk is defined as the combination of (1) the likelihood that a particular threat source will exercise (intentionally exploit or unintentionally trigger) a particular information system vulnerability and (2) the resulting adverse impact on organizational operations, organizational assets, or individuals should this occur.",,,
Risk Based Approach to Security,"Ensure that risks to confidentiality, integrity, and availability of information and technology systems are treated in a consistent and effective manner.","Risk is the chance of something happening that will have an impact on company objectives and risk assessment is the overall process of risk identification, analysis, evaluation, and mitigation.

	Taking a risk based approach allows for the:
better identification of threats to our projects and initiatives,
	more effective allocation and use of resources to manage those risks,
and
	improved stakeholder confidence and trust as we better manage
information and business risk.
","The level and cost of information security controls to manage confidentiality, integrity, and availability risk must be appropriate and proportionate to the value of the information assets and the potential severity, probability, and extent of harm.

Risks must identified so we are aware of what risks can occur, what existing controls are in place, the consequence and likelihood of the risk occurring, and a determination is made about how to treat those risks.

	Options for addressing information risk should be reviewed so that informed
and documented decisions are made about the treatment of risk. Risk
treatment involves choosing one or more options, which typically include:
Accepting risk (by an appropriate team member signing off that he/she
has accepted the risk and no further action is required)
	Avoiding risk (by an appropriate team member deciding not to pursue a
particular initiative)
	Transferring risk (by an appropriate team member to an external entity
such as insurance)
	Mitigating risk (by an appropriate team member by applying appropriate
information security measures, e.g., access controls, network
monitoring and incident management)
",,
Secure use of the service by the consumer,Secure use of the service by the consumer,"Consumers have certain responsibilities when using a cloud service in order for this use to remain secure, and for their data to be adequately protected.

If this principle is not implemented, the security of cloud services and the data held within them can be undermined by poor use of the service by consumers.",,,
Security by Design,"Controls for the protection of confidentiality, integrity, and availability should be designed into all aspects of solutions from initiation, not as an afterthought. Security should also be designed into the business processes within which an IT system will be used.","The implementation of protections for confidentiality, availability and integrity within information and systems at the end of a project is more expensive than including the security protections within the initial design of the project. Controls implemented at the end of a project are often less efficient and less integrated than those integrated within the core of the project.

&nbsp;","
	Security is designed in as an integrated part of the system architecture, not added as an afterthought.
	Security mechanisms must span all tiers of the architecture, and must be scalable.
	All solutions, custom or commercial, must be tested for security.
	Possible areas of control which could be addressed and integrated include (but are not limited to): asset management and information classification;
physical security; segregation of duties, protections against malicious code; backup; exchange of information; logging and monitoring; user access management; technical vulnerability management; compliance with legal requirements; and, information systems audit considerations.
",,
Sensitive Data,Secrets are not stored in code.,Storing secrets involves risk at all times.,"Software code must be scanned on secrets (e.g. configuration details, passwords)",,
Sensitive data must be identified,Sensitive data must be identified and it should be defined how the data is handled.,"Data sets do not exist only at rest, but in transit between components within a single system and between organizations. As data sets transit between systems, they may cross multiple trust boundaries. Identifying these boundaries and rectifying them with data protection policies is an essential design activity. Trust is just as tricky as data sensitivity, and the notion of trust enclaves is likely to dominate security conversations in the next decade.","Policy requirements and data sensitivity can change over time as the business climate evolves, as regulatory regimes change, as systems become increasingly interconnected, and as new data sources are incorporated into a system. Regularly revisiting and revising data protection policies and their design implications is essential.",,
Separation between consumers,Separation between consumers,"Separation should exist between different consumers of the service to prevent one malicious or compromised consumer from affecting the service or data of another.If this principle is not implemented, service providers can not prevent a consumer of the service affecting the confidentiality or integrity of another consumer’s data or service.",Sharing services between customers by Cloud Service Providers (CSP's) requires strict separation within the security model.,,
Separation of privilege,Separation of privilege,"A protection mechanism is more flexible if it requires two separate keys to unlock it, allowing for two-person control and similar techniques to prevent unilateral action by a subverted individual. The classic examples include dual keys for safety deposit boxes and the two-person control applied to nuclear weapons and Top Secret crypto materials. Figure 3 (courtesy of the Titan Missile Museum) shows how two separate padlocks were used to secure the launch codes for a Titan nuclear missile.Separation of privilege – A protection mechanism is more flexible if it requires two separate keys to unlock it, allowing for two-person control and similar techniques to prevent unilateral action by a subverted individual. The classic examples include dual keys for safety deposit boxes and the two-person control applied to nuclear weapons and Top Secret crypto materials.",,,
Session lifetime,Session lifetime is limited. Also for cookies.,"Security
System performance",All transactions must be completed within max session time.,,
Strive for operational ease of use.,Strive for operational ease of use.,"The more difficult it is to maintain and operate a security control, the less effective that control is likely to be. Therefore, security controls should be designed to be consistent with the concept of operations and with ease-of-use as an important consideration.",,,
